اسم المكتبة,منطقة المكتبة,رقم التواصل,الكتب المتوفرة,اسماء المعلمين 
مكتبة خلفان,ضنك,91061619,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,- كتاب بصمة للصف الخامس- الأستاذ صهيب : 3.5 ريال عماني
مكتبة أثر وكتاب,المصنعة – ودام الغاف,92541397,بصمة خامس، بصمة ثامن، بصمة تاسع، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,- كتاب بصمة للصف الثامن-الأستاذ صهيب : 3.5 ريال عماني
مكتبة السعادة,الرستاق,79680809,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,- كتاب بصمة للصف التاسع-الأستاذ صهيب : 3.5 ريال عماني
مكتبة روائع الأمل,صحار,91940058,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,- كتاب الإبداع للصف الثامن -الأستاذ  جاسم السنيدي: 3.5 ريال عماني
مكتبة بوابة المعرفة,صحم,98981335,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,- كتاب المغني المجيد للصف الثاني عشر- الأستاذ حمد المزروعي : 5 ريالات عمانية
مكتبة التيجان نزوى,نزوى,92343119,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,- كتاب البروفيسور للصف الحادي عشر- الأستاذ المعتصم : 3.5 ريال عماني
مكتبة كنوز العلم,المضيبي – سمد الشأن,96525095,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,- كتاب الإصرار في الأحياء للصف التاسع-الأستاذ هلال : 3.5 ريال عماني
مكتبة الشهامة,نزوى,92703151,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر,- كتاب مفاتيح الإنجليزي للصف الثاني عشر - الأستاذ مهيب : 3 ريالات عمانية
مكتبة اليُسر,السويق – الخضراء,99013009,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,-كتاب المستشار للصف الحادي عشر- الأستاذ حازم : 3.7 ريال عماني
مكتبة وهج الطفولة,بركاء,94856766,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,- كتاب المستشار للصف الثاني عشر- الأستاذ حازم : 3.7 ريال عماني
مكتبة دبوس,نزوى – العين,97702203,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,- كتاب جيو لمادة الجغرافيا  للصف الثاني عشر- الأستاذ عبدالعزيز التوبي :  3.5 ريال عماني
مكتبة آفاق المعرفة,المعبيلة السابعة,91449108,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
متجر الألفة,نزوى – حي التراث,72140005,بصمة خامس، بصمة ثامن، بصمة تاسع,
مكتبة أضواء المعيمير,نزوى,99365652,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,
مكتبة ناجح,بوشر,96222370,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,
